distance,N,S,W,E
20,238237.53144666043,469082.6521503273,265830.8076346152,268805.3710451159
25,281453.07480449486,469082.6521503273,316356.3795130479,319818.3618685482
30,343821.15789402596,469082.6521503273,390595.5727038165,394728.65552785347
35,441698.54500127264,545218.4753329459,510361.95782452973,515464.733018249
40,617479.7787991286,650857.8503672137,736054.7915152039,742606.6154554775
45,1025656.88043772,807271.6027549455,1319617.5229990438,1327635.0452347426
50,1154533.5057213563,1062646.0345642203,1486985.0347581825,1496281.1327474797
55,1320451.9468769196,1554354.7107044188,1702973.7376116088,1714007.071528611
60,1542062.2950288286,1737318.5313806366,1992371.1806624094,2005886.3744223483
65,1853059.7695235957,1969102.5096353411,2400263.649933725,2417577.032296536
70,2321188.5786627308,2272254.9097758546,3018163.694935966,3041900.5507681267
75,2534607.8592721787,2685736.3974288655,3299607.56653546,3320694.537301612
80,2791246.091194678,3283174.615468618,3638938.732395383,3655748.4509282564
85,3105710.5393173774,3569413.097646103,4056063.742166352,4066003.0596059687
90,3500026.9109309684,3910329.067120785,4581198.270026221,4579976.148195872
95,4009033.6531107724,4323243.674741193,5262533.194786297,5242691.414047911
100,4304603.904812983,4833658.006892774,5640960.518823534,5624809.299122046
105,4647225.528373698,5480728.227392509,6078029.994922075,6067008.192012704
110,5049105.153913298,5866766.1213530805,6588517.505859802,6584667.073421354
115,5527071.504596323,6311306.19928177,7192618.132305144,7198903.302011664
120,6104991.867712228,6828737.329447021,7918681.3740646,7939524.427879358
125,6473421.30246414,7438588.462208192,8375335.103001392,8410626.683921251
130,6889175.3327305,8168048.924475432,8887880.511269616,8941162.467029855
135,7361998.002100245,8627702.807425607,9467247.697999705,9543136.059854493
140,7904505.518422539,9142175.285160555,10127415.46214913,10232017.914843354
145,8533328.693042172,9721894.753204191,10886553.936249074,11028093.035160452
150,8957811.698276583,10380113.81734664,11388066.062164193,11565239.655201424
155,9426736.496750139,11133934.787661307,11938016.011832632,12157391.12990558
160,9947467.96180293,11650356.52316704,12543777.311739624,12813452.301356273
165,10529093.454588903,12217014.393555338,13214300.084414937,13544359.818793042
170,11182957.662680546,12841613.417367635,13960556.226942122,14363696.687595686
175,11646842.077849071,13533519.197900455,14503386.262778522,14944124.508465698
180,12150877.119040458,14304230.760999324,15090137.965163978,15573437.170587443
185,12700511.320643222,14858232.49052527,15726366.796342058,16258081.95037274
190,13302225.76187573,15456876.082468959,16418606.374767806,17005692.00795677
195,13963790.826669643,16105783.97764384,17174593.66890638,17825372.187206235
200,14460372.098323012,16811564.152809385,17737855.74025612,18444991.58050704
205,14993574.610382494,17582035.95559343,18339316.334000997,19109238.86044009
210,15567604.50191856,18153641.14795894,18982997.574823055,19823115.609358225
215,16187337.68337143,18763661.88670151,19673506.808831513,20592399.803865775
220,16858458.678909626,19416105.488344204,20416147.058956254,21423802.54650511
225,17361613.421857767,20115556.712182656,20976116.71993469,22058346.190834053
230,17895726.280453593,20867285.65698718,21567670.10570884,22731625.764947984
235,18463745.130571436,21427283.30904816,22193556.864485335,23447299.91215757
