distance,N,S,W,E
20,195187.4107103452,820549.9898116571,262772.69755568885,265729.8696202784
25,231610.776005047,820549.9898116571,313568.3040687211,317031.10617578466
30,284746.5088376016,820549.9898116571,388707.99067395146,392879.5949756217
35,369521.46756376023,955411.8729518807,511207.5333501232,516434.61682341393
40,526174.587188474,1143323.3200182363,746446.8336766338,753353.54933496
45,913394.6288168472,1423249.6005560684,1382728.8758564894,1391899.8947811103
50,1030409.151016958,1884688.4852670662,1559822.6803342714,1570674.9113571716
55,1181810.263971802,2788887.7610104047,1788942.5353624087,1802141.1341329764
60,1385366.2970443289,3110025.2564633633,2096961.911710849,2113619.6996346232
65,1673634.5803508954,3514744.378813647,2533112.090293827,2555267.0891324915
70,2113390.8840894774,4040557.0557384375,3198339.381572415,3230234.6304866173
75,2310747.244290844,4751371.598741394,3499008.647362775,3528993.9430849296
80,2548760.004391408,5765667.454555783,3862074.2548888917,3888648.95984937
85,2841434.92638756,6249654.187757792,4309208.121113467,4329930.9241198655
90,3210045.4685727437,6822341.154947256,4873432.578429229,4884185.932594915
95,3688549.5662227506,7510572.337787775,5607670.721684775,5601166.037864834
100,3963827.352378003,8353239.01760762,6013138.363894614,6010291.503497185
105,4283507.028821076,9408892.254137386,6481811.538978729,6483893.987095871
110,4659273.946846383,10035161.558841914,7029718.522036503,7038519.375056616
115,5107308.094871016,10750746.60538651,7678807.470275677,7696904.380524137
120,5650675.022497669,11576221.185680317,8459957.513067782,8491170.792342788
125,5996005.746085707,12539003.495372076,8946979.392701875,8995933.762639867
130,6386292.386551129,13676460.533337343,9493500.137533799,9564501.552790953
135,6830924.833096296,14396326.784675723,10111132.4578289,10209788.292386644
140,7342103.670554756,15196184.337514672,10814721.37209946,10948445.353253672
145,7935976.908720378,16090150.455441304,11623552.926596409,11802318.694041504
150,8337956.338884109,17095872.02384852,12168339.943369275,12380813.741644068
155,8782831.313606935,18235702.199314617,12766705.65222031,13018942.03557029
160,9277854.952458136,19019647.17548695,13426962.859577991,13726425.456366293
165,9832013.265432598,19874022.85016234,14159237.815469142,14515220.573259871
170,10456575.547854785,20808767.022874698,14975993.243049502,15400199.878464479
175,10900645.033375988,21835779.405300878,15562864.865983719,16032010.647488972
180,11384104.798761867,22969430.90572522,16197608.52876837,16717880.778695375
185,11912439.132226171,23786773.807723474,16886330.78831829,17465058.550918356
190,12492199.970849084,24664431.51339483,17636222.927196167,18282148.664893333
195,13131279.996215431,25609336.077905513,18455813.000316843,19179445.112377945
200,13609308.7409644,26629524.153588846,19068669.52614577,19853596.955054123
205,14123456.499912156,27734366.135106776,19723625.9272715,20576867.79307503
210,14677977.633176427,28578992.564485487,20425174.548495702,21354828.833649848
215,15277821.951926943,29476679.664068684,21178470.458937906,22193926.924690936
220,15928782.8780715,30432589.60504062,21989458.340658467,23101663.624341413
225,16418998.564391943,31452576.625566896,22594811.99077735,23785152.24656147
230,16940345.561815277,32543307.030263454,23234439.04602732,24510317.47239981
235,17495886.627535723,33360757.979972407,23911334.99889844,25281091.102466
