0,Energy [keV],Photon flux at 1 m [1/cm2/keV/s]
0,10.0,5377.6
1,10.1,7242.955999999999
2,10.2,9760.736
3,10.3,13176.612000000001
4,10.4,17817.536
5,10.5,24131.464
6,10.6,32732.74399999999
7,10.7,44464.76
8,10.8,60486.32
9,10.9,82391.12
10,11.0,112372.84
11,11.1,141923.31999999998
12,11.2,179273.08000000002
13,11.3,226487.56
14,11.4,286180.76
15,11.5,361661.52
16,11.6,457118.8
17,11.7,577855.6
18,11.8,730588.4
19,11.9,923821.2
20,12.0,1168326.4
21,12.1,1390114.8000000003
22,12.2,1652877.6
23,12.3,1965513.6000000006
24,12.4,2337523.6
25,12.5,2780225.6
26,12.6,3307101.9999999995
27,12.7,3934214.8000000003
28,12.8,4680700.0
29,12.9,5569364.0
30,13.0,6627375.999999999
31,13.1,7586316.0
32,13.2,8685796.0
33,13.3,9946680.0
34,13.4,11392964.0
35,13.5,13052268.0
36,13.6,14956379.999999998
37,13.7,17141884.0
38,13.8,19650916.0
39,13.9,22532000.0
40,14.0,25841048.0
41,14.1,28610124.0
42,14.2,31659632.0
43,14.3,35039576.0
44,14.4,38786336.0
45,14.5,42940360.0
46,14.6,47546640.0
47,14.7,52655160.0
48,14.8,58321600.0
49,14.9,64607880.00000001
50,15.0,71582920.0
51,15.1,77401680.0
52,15.2,83704160.0
53,15.3,90531440.0
54,15.4,97928120.0
55,15.5,105942680.0
56,15.6,114627880.0
57,15.7,124040960.00000001
58,15.8,134244280.0
59,15.9,145305560.0
60,16.0,157298440.0
61,16.1,167050560.0
62,16.2,177317880.0
63,16.3,188234440.0
64,16.4,199842400.0
65,16.5,212186640.0
66,16.6,225315000.0
67,16.7,239278560.0
68,16.8,254131840.0
69,16.9,269932840.0
70,17.0,286743600.0
71,17.1,300193400.0
72,17.2,314298240.0
73,17.3,329091040.0
74,17.4,344606400.0
75,17.5,360880680.0
76,17.6,377952160.0
77,17.7,395861040.0
78,17.8,414649600.0
79,17.9,434362400.0
80,18.0,455046400.0
81,18.1,472058000.0
82,18.2,489469200.0
83,18.3,507554400.0
84,18.4,526341200.0
85,18.5,545857600.0
86,18.6,566133200.0
87,18.7,587198000.0
88,18.8,609084400.0
89,18.9,631825600.0
90,19.0,655456000.0
91,19.1,674368800.0
92,19.2,693864800.0
93,19.3,713962000.0
94,19.4,734680400.0
95,19.5,756039200.0
96,19.6,778060000.0
97,19.7,800763200.0
98,19.8,824171600.0
99,19.9,848307600.0
100,20.0,873194800.0
101,20.1,893412800.0
102,20.2,913679600.0
103,20.3,934448800.0
104,20.4,955732800.0
105,20.5,977545600.0
106,20.6,999900400.0
107,20.7,1022812000.0
108,20.8,1046294000.0
109,20.9,1070362400.0
110,21.0,1095031600.0
111,21.1,1114503600.0
112,21.2,1134366400.0
113,21.3,1154628800.0
114,21.4,1175299200.0
115,21.5,1196385600.0
116,21.6,1217897200.0
117,21.7,1239842800.0
118,21.8,1262231600.0
119,21.9,1285073200.0
120,22.0,1308377200.0
121,22.1,1327299200.0
122,22.2,1345912000.0
123,22.3,1364833200.0
124,22.4,1384067200.0
125,22.5,1403620000.0
126,22.6,1423496400.0
127,22.7,1443702800.0
128,22.8,1464244400.0
129,22.9,1485127200.0
130,23.0,1506356800.0
131,23.1,1522882800.0
132,23.2,1539637600.0
133,23.3,1556624000.0
134,23.4,1573845600.0
135,23.5,1591305200.0
136,23.6,1609006400.0
137,23.7,1626952800.0
138,23.8,1645147200.0
139,23.9,1663594000.0
140,24.0,1682296000.0
141,24.1,1696393600.0
142,24.2,1709910800.0
143,24.3,1723583200.0
144,24.4,1737412000.0
145,24.5,1751398800.0
146,24.6,1765545600.0
147,24.7,1779854400.0
148,24.8,1794326000.0
149,24.9,1808963200.0
150,25.0,1823766800.0
151,25.1,1836040400.0
152,25.2,1848442800.0
153,25.3,1860974800.0
154,25.4,1873638000.0
155,25.5,1886433600.0
156,25.6,1899362800.0
157,25.7,1912426800.0
158,25.8,1925626400.0
159,25.9,1938963200.0
160,26.0,1952438800.0
161,26.1,1962809200.0
162,26.2,1972473600.0
163,26.3,1982231200.0
164,26.4,1992081600.0
165,26.5,2002026000.0
166,26.6,2012064800.0
167,26.7,2022198400.0
168,26.8,2032428000.0
169,26.9,2042753600.0
170,27.0,2053176000.0
171,27.1,2060813200.0
172,27.2,2068522000.0
173,27.3,2076303200.0
174,27.4,2084156400.0
175,27.5,2092082400.0
176,27.6,2100081600.0
177,27.7,2108153600.0
178,27.8,2116299200.0
179,27.9,2124518800.0
180,28.0,2133637600.0
181,28.1,2139044800.0
182,28.2,2144507600.0
183,28.3,2150026000.0
184,28.4,2155600400.0
185,28.5,2161230000.0
