**** CALCULATED SPECTRUM ****
Energy[keV]  N[keV cm^2 mAs]^-1 @ 1 meter
12  0.0121141
13  0.9178284
14  24.20623
15  283.5256
16  1905.292
17  8262.93
18  25893.45
19  64697.45
20  134565.3
21  242967.9
22  391753.8
23  579774.9
24  799275.4
25  1.027157e+6
26  1.282575e+6
27  1.535381e+6
28  1.787144e+6
29  2.021806e+6
30  2.225260e+6
31  2.415882e+6
32  2.592101e+6
33  2.740845e+6
34  2.863908e+6
35  2.962543e+6
36  3.042369e+6
37  3.101688e+6
38  3.144821e+6
39  3.167119e+6
40  3.181122e+6
41  3.179208e+6
42  3.164753e+6
43  3.142279e+6
44  3.112436e+6
45  3.074487e+6
46  3.033402e+6
47  2.985365e+6
48  2.930477e+6
49  2.876879e+6
50  2.817131e+6
51  2.755106e+6
52  2.690987e+6
53  2.628269e+6
54  2.564214e+6
55  2.497935e+6
56  2.430982e+6
57  2.364184e+6
58  5.312868e+6
59  7.513631e+6
60  2.167532e+6
61  2.102103e+6
62  2.038800e+6
63  1.974002e+6
64  1.913654e+6
65  1.849390e+6
66  1.789855e+6
67  3.523536e+6
68  1.669464e+6
69  2.081764e+6
70  1.487898e+6
71  1.435729e+6
72  1.386222e+6
73  1.336086e+6
74  1.286881e+6
75  1.237991e+6
76  1.188710e+6
77  1.141113e+6
78  1.094924e+6
79  1.047306e+6
80  1.001020e+6
81  954648.6
82  910816.6
83  865426.8
84  820155.5
85  775531.8
86  732165.5
87  688114.4
88  645116.7
89  600382.1
90  557584.9
91  512774.6
92  469827.2
93  424460.4
94  380387.2
95  331545.3
96  283577.8
97  235792
98  189338
99  93341.72
100  0
