,photon energy in keV,photon flux in 1/cm2/s/keV/mA at 1 m
0,10.0,13.444
1,10.1,18.10739
2,10.2,24.40184
3,10.3,32.94153
4,10.4,44.54384
5,10.5,60.32866
6,10.6,81.83185999999999
7,10.7,111.1619
8,10.8,151.2158
9,10.9,205.9778
10,11.0,280.9321
11,11.1,354.8083
12,11.2,448.1827
13,11.3,566.2189
14,11.4,715.4519
15,11.5,904.1538
16,11.6,1142.797
17,11.7,1444.639
18,11.8,1826.471
19,11.9,2309.553
20,12.0,2920.816
21,12.1,3475.2870000000003
22,12.2,4132.194
23,12.3,4913.784000000001
24,12.4,5843.809
25,12.5,6950.564
26,12.6,8267.755
27,12.7,9835.537
28,12.8,11701.75
29,12.9,13923.41
30,13.0,16568.44
31,13.1,18965.79
32,13.2,21714.49
33,13.3,24866.7
34,13.4,28482.41
35,13.5,32630.67
36,13.6,37390.95
37,13.7,42854.71
38,13.8,49127.29
39,13.9,56330.0
40,14.0,64602.62
41,14.1,71525.31
42,14.2,79149.08
43,14.3,87598.94
44,14.4,96965.84
45,14.5,107350.9
46,14.6,118866.6
47,14.7,131637.9
48,14.8,145804.0
49,14.9,161519.7
50,15.0,178957.3
51,15.1,193504.2
52,15.2,209260.4
53,15.3,226328.6
54,15.4,244820.3
55,15.5,264856.7
56,15.6,286569.7
57,15.7,310102.4
58,15.8,335610.7
59,15.9,363263.9
60,16.0,393246.1
61,16.1,417626.4
62,16.2,443294.7
63,16.3,470586.1
64,16.4,499606.0
65,16.5,530466.6
66,16.6,563287.5
67,16.7,598196.4
68,16.8,635329.6
69,16.9,674832.1
70,17.0,716859.0
71,17.1,750483.5
72,17.2,785745.6
73,17.3,822727.6
74,17.4,861516.0
75,17.5,902201.7
76,17.6,944880.4
77,17.7,989652.6
78,17.8,1036624.0
79,17.9,1085906.0
80,18.0,1137616.0
81,18.1,1180145.0
82,18.2,1223673.0
83,18.3,1268886.0
84,18.4,1315853.0
85,18.5,1364644.0
86,18.6,1415333.0
87,18.7,1467995.0
88,18.8,1522711.0
89,18.9,1579564.0
90,19.0,1638640.0
91,19.1,1685922.0
92,19.2,1734662.0
93,19.3,1784905.0
94,19.4,1836701.0
95,19.5,1890098.0
96,19.6,1945150.0
97,19.7,2001908.0
98,19.8,2060429.0
99,19.9,2120769.0
100,20.0,2182987.0
101,20.1,2233532.0
102,20.2,2284199.0
103,20.3,2336122.0
104,20.4,2389332.0
105,20.5,2443864.0
106,20.6,2499751.0
107,20.7,2557030.0
108,20.8,2615735.0
109,20.9,2675906.0
110,21.0,2737579.0
111,21.1,2786259.0
112,21.2,2835916.0
113,21.3,2886572.0
114,21.4,2938248.0
115,21.5,2990964.0
116,21.6,3044743.0
117,21.7,3099607.0
118,21.8,3155579.0
119,21.9,3212683.0
120,22.0,3270943.0
121,22.1,3318248.0
122,22.2,3364780.0
123,22.3,3412083.0
124,22.4,3460168.0
125,22.5,3509050.0
126,22.6,3558741.0
127,22.7,3609257.0
128,22.8,3660611.0
129,22.9,3712818.0
130,23.0,3765892.0
131,23.1,3807207.0
132,23.2,3849094.0
133,23.3,3891560.0
134,23.4,3934614.0
135,23.5,3978263.0
136,23.6,4022516.0
137,23.7,4067382.0
138,23.8,4112868.0
139,23.9,4158985.0
140,24.0,4205740.0
141,24.1,4240984.0
142,24.2,4274777.0
143,24.3,4308958.0
144,24.4,4343530.0
145,24.5,4378497.0
146,24.6,4413864.0
147,24.7,4449636.0
148,24.8,4485815.0
149,24.9,4522408.0
150,25.0,4559417.0
151,25.1,4590101.0
152,25.2,4621107.0
153,25.3,4652437.0
154,25.4,4684095.0
155,25.5,4716084.0
156,25.6,4748407.0
157,25.7,4781067.0
158,25.8,4814066.0
159,25.9,4847408.0
160,26.0,4881097.0
161,26.1,4907023.0
162,26.2,4931184.0
163,26.3,4955578.0
164,26.4,4980204.0
165,26.5,5005065.0
166,26.6,5030162.0
167,26.7,5055496.0
168,26.8,5081070.0
169,26.9,5106884.0
170,27.0,5132940.0
171,27.1,5152033.0
172,27.2,5171305.0
173,27.3,5190758.0
174,27.4,5210391.0
175,27.5,5230206.0
176,27.6,5250204.0
177,27.7,5270384.0
178,27.8,5290748.0
179,27.9,5311297.0
180,28.0,5334094.0
181,28.1,5347612.0
182,28.2,5361269.0
183,28.3,5375065.0
184,28.4,5389001.0
185,28.5,5403075.0
186,28.6,5417289.0
187,28.7,5431642.0
188,28.8,5446136.0
189,28.9,5460769.0
190,29.0,5475543.0
191,29.1,5483261.0
192,29.2,5491090.0
193,29.3,5499027.0
194,29.4,5507075.0
195,29.5,5515231.0
196,29.6,5523496.0
197,29.7,5531870.0
198,29.8,5540352.0
199,29.9,5548943.0
200,30.0,5557642.0
201,30.1,5564231.0
202,30.2,5568876.0
203,30.3,5573619.0
204,30.4,5578459.0
205,30.5,5583396.0
206,30.6,5588428.0
207,30.7,5593557.0
208,30.8,5598782.0
209,30.9,5604101.0
210,31.0,5609516.0
211,31.1,5611361.0
212,31.2,5613296.0
213,31.3,5615318.0
214,31.4,5617429.0
215,31.5,5619627.0
216,31.6,5621912.0
217,31.7,5624283.0
218,31.8,5626740.0
219,31.9,5629283.0
220,32.0,5631911.0
221,32.1,5632354.0
222,32.2,5630906.0
223,32.3,5629541.0
224,32.4,5628259.0
225,32.5,5627059.0
226,32.6,5625941.0
227,32.7,5624904.0
228,32.8,5623948.0
229,32.9,5623071.0
230,33.0,5622274.0
231,33.1,5618388.0
232,33.2,5614582.0
233,33.3,5610857.0
234,33.4,5607211.0
235,33.5,5603644.0
236,33.6,5600155.0
237,33.7,5596744.0
238,33.8,5593410.0
239,33.9,5590153.0
240,34.0,5586971.0
241,34.1,5582370.0
242,34.2,5575966.0
243,34.3,5569642.0
244,34.4,5563398.0
245,34.5,5557233.0
246,34.6,5551146.0
247,34.7,5545137.0
248,34.8,5539205.0
249,34.9,5533349.0
250,35.0,5527569.0
251,35.1,5519581.0
252,35.2,5511673.0
253,35.3,5503844.0
254,35.4,5496094.0
255,35.5,5488421.0
256,35.6,5480826.0
257,35.7,5473308.0
258,35.8,5465865.0
259,35.9,5458497.0
260,36.0,5451204.0
261,36.1,5443616.0
262,36.2,5434337.0
263,36.3,5425138.0
264,36.4,5416017.0
265,36.5,5406975.0
266,36.6,5398009.0
267,36.7,5389121.0
268,36.8,5380309.0
269,36.9,5371572.0
270,37.0,5362909.0
271,37.1,5352684.0
272,37.2,5342538.0
273,37.3,5332471.0
274,37.4,5322481.0
275,37.5,5312568.0
276,37.6,5302732.0
277,37.7,5292971.0
278,37.8,5283285.0
279,37.9,5273673.0
280,38.0,5264135.0
281,38.1,5254186.0
282,38.2,5242658.0
283,38.3,5231210.0
284,38.4,5219842.0
285,38.5,5208553.0
286,38.6,5197343.0
287,38.7,5186211.0
288,38.8,5175156.0
289,38.9,5164178.0
290,39.0,5153275.0
291,39.1,5141556.0
292,39.2,5129916.0
293,39.3,5118353.0
294,39.4,5106867.0
295,39.5,5095458.0
296,39.6,5084125.0
297,39.7,5072867.0
298,39.8,5061683.0
299,39.9,5050573.0
300,40.0,5039536.0
301,40.1,5028577.0
302,40.2,5016157.0
303,40.3,5003816.0
304,40.4,4991553.0
305,40.5,4979367.0
306,40.6,4967258.0
307,40.7,4955225.0
308,40.8,4943267.0
309,40.9,4931384.0
310,41.0,4919575.0
311,41.1,4906789.0
312,41.2,4894081.0
313,41.3,4881450.0
314,41.4,4868897.0
315,41.5,4856419.0
316,41.6,4844017.0
317,41.7,4831690.0
318,41.8,4819437.0
319,41.9,4807257.0
320,42.0,4795150.0
321,42.1,4783522.0
322,42.2,4770545.0
323,42.3,4757644.0
324,42.4,4744819.0
325,42.5,4732070.0
326,42.6,4719396.0
327,42.7,4706796.0
328,42.8,4694270.0
329,42.9,4681817.0
330,43.0,4669436.0
331,43.1,4656503.0
332,43.2,4643646.0
333,43.3,4630862.0
334,43.4,4618152.0
335,43.5,4605515.0
336,43.6,4592950.0
337,43.7,4580456.0
338,43.8,4568034.0
339,43.9,4555682.0
340,44.0,4543400.0
341,44.1,4531510.0
342,44.2,4518372.0
343,44.3,4505308.0
344,44.4,4492317.0
345,44.5,4479400.0
346,44.6,4466554.0
347,44.7,4453781.0
348,44.8,4441078.0
349,44.9,4428446.0
350,45.0,4415884.0
351,45.1,4403016.0
352,45.2,4390219.0
353,45.3,4377493.0
354,45.4,4364836.0
355,45.5,4352249.0
356,45.6,4339731.0
357,45.7,4327281.0
358,45.8,4314898.0
359,45.9,4302583.0
360,46.0,4290335.0
361,46.1,4278559.0
362,46.2,4265627.0
363,46.3,4252765.0
364,46.4,4239972.0
365,46.5,4227249.0
366,46.6,4214594.0
367,46.7,4202007.0
368,46.8,4189487.0
369,46.9,4177035.0
370,47.0,4164649.0
371,47.1,4151751.0
372,47.2,4138922.0
373,47.3,4126161.0
374,47.4,4113469.0
375,47.5,4100843.0
376,47.6,4088285.0
377,47.7,4075793.0
378,47.8,4063367.0
379,47.9,4051006.0
380,48.0,4038710.0
381,48.1,4027271.0
382,48.2,4014756.0
383,48.3,4002307.0
384,48.4,3989923.0
385,48.5,3977604.0
386,48.6,3965349.0
387,48.7,3953157.0
388,48.8,3941029.0
389,48.9,3928963.0
390,49.0,3916960.0
391,49.1,3904523.0
392,49.2,3892151.0
393,49.3,3879842.0
394,49.4,3867597.0
395,49.5,3855415.0
396,49.6,3843296.0
397,49.7,3831239.0
398,49.8,3819243.0
399,49.9,3807309.0
400,50.0,3795435.0
401,50.1,3784164.0
402,50.2,3771895.0
403,50.3,3759688.0
404,50.4,3747545.0
405,50.5,3735463.0
406,50.6,3723442.0
407,50.7,3711483.0
408,50.8,3699584.0
409,50.9,3687745.0
410,51.0,3675965.0
411,51.1,3663958.0
412,51.2,3652011.0
413,51.3,3640124.0
414,51.4,3628297.0
415,51.5,3616529.0
416,51.6,3604821.0
417,51.7,3593171.0
418,51.8,3581579.0
419,51.9,3570044.0
420,52.0,3558567.0
421,52.1,3547821.0
422,52.2,3536146.0
423,52.3,3524528.0
424,52.4,3512968.0
425,52.5,3501466.0
426,52.6,3490020.0
427,52.7,3478631.0
428,52.8,3467298.0
429,52.9,3456021.0
430,53.0,3444799.0
431,53.1,3433445.0
432,53.2,3422148.0
433,53.3,3410906.0
434,53.4,3399719.0
435,53.5,3388586.0
436,53.6,3377508.0
437,53.7,3366484.0
438,53.8,3355513.0
439,53.9,3344595.0
440,54.0,3333730.0
441,54.1,3323342.0
442,54.2,3312084.0
443,54.3,3300882.0
444,54.4,3289734.0
445,54.5,3278641.0
446,54.6,3267601.0
447,54.7,3256614.0
448,54.8,3245681.0
449,54.9,3234800.0
450,55.0,3223972.0
451,55.1,3212983.0
452,55.2,3202048.0
453,55.3,3191165.0
454,55.4,3180334.0
455,55.5,3169556.0
456,55.6,3158829.0
457,55.7,3148154.0
458,55.8,3137529.0
459,55.9,3126956.0
460,56.0,3117294.0
461,56.1,3106543.0
462,56.2,3095843.0
463,56.3,3085195.0
464,56.4,3074597.0
465,56.5,3064049.0
466,56.6,3053552.0
467,56.7,3043104.0
468,56.8,3032706.0
469,56.9,3022357.0
470,57.0,3012056.0
471,57.1,3001768.0
472,57.2,2991529.0
473,57.3,2981337.0
474,57.4,2971193.0
475,57.5,2961097.0
476,57.6,2951047.0
477,57.7,2941045.0
478,57.8,2931089.0
479,57.9,2921179.0
480,58.0,41048830.0
481,58.1,2901901.0
482,58.2,2891724.0
483,58.3,2881596.0
