0,Energy [keV],Photon flux at 1 m [1/cm2/keV/s] (normalized)
0,10.0,5.526965033798909e-08
1,10.1,7.444132057673312e-08
2,10.2,1.0031844424304936e-07
3,10.3,1.354259777371599e-07
4,10.4,1.8312425331086965e-07
5,10.5,2.4801725257062095e-07
6,10.6,3.364190931796544e-07
7,10.7,4.5699786848456624e-07
8,10.8,6.216635221347285e-07
9,10.9,8.467956696956447e-07
10,11.0,1.154940414736461e-06
11,11.1,1.458652981108028e-06
12,11.2,1.8425246293168596e-06
13,11.3,2.327783443748944e-06
14,11.4,2.9412954735681292e-06
15,11.5,3.7170681625828708e-06
16,11.6,4.698154611522085e-06
17,11.7,5.939057750269429e-06
18,11.8,7.508807908544872e-06
19,11.9,9.49480710704059e-06
20,12.0,1.200777142380273e-05
21,12.1,1.4287258056691393e-05
22,12.2,1.6987869496335648e-05
23,12.3,2.020106542073828e-05
24,12.4,2.4024492715857903e-05
25,12.5,2.8574475002366465e-05
26,12.6,3.398958107186558e-05
27,12.7,4.0434892210380405e-05
28,12.8,4.8107083519976476e-05
29,12.9,5.724055357129281e-05
30,13.0,6.811454072046651e-05
31,13.1,7.79702902174747e-05
32,13.2,8.927047527281765e-05
33,13.3,0.00010222953094761031
34,13.4,0.00011709408222874469
35,13.5,0.00013414800068389693
36,13.6,0.00015371799555974656
37,13.7,0.00017618006821153853
38,13.8,0.00020196728208516718
39,13.9,0.0002315783549195868
40,14.0,0.0002655879365008911
41,14.1,0.00029404781865637264
42,14.2,0.00032538991194388015
43,14.3,0.0003601281451784056
44,14.4,0.0003986364230533617
45,14.5,0.0004413304601657566
46,14.6,0.0004886726732271357
47,14.7,0.0005411767854974095
48,14.8,0.0005994150623237251
49,14.9,0.0006640239022386861
50,15.0,0.0007357116480534524
51,15.1,0.0007955154323811594
52,15.2,0.0008602907719122084
53,15.3,0.000930459876784186
54,15.4,0.0010064811348290382
55,15.5,0.0010888528115645397
56,15.6,0.001178117161295926
57,15.7,0.0012748624826667083
58,15.8,0.0013797296964212847
59,15.9,0.0014934148120659204
60,16.0,0.00161667468341103
61,16.1,0.0017169045745249302
62,16.2,0.0018224295645405957
63,16.3,0.001934627283614844
64,16.4,0.002053931041859668
65,16.5,0.002180802104878155
66,16.6,0.0023157321604254703
67,16.7,0.002459246196179995
68,16.8,0.0026119045552941435
69,16.9,0.0027743033475045287
70,17.0,0.0029470802046742423
71,17.1,0.0030853139414928764
72,17.2,0.0032302800183437543
73,17.3,0.003382316778891174
