**** CALCULATED SPECTRUM ****
Energy[keV]  N[keV cm^2 mAs]^-1 @ 1 meter
12  1.388633e-20
13  5.947860e-15
14  9.180174e-11
15  1.314423e-7
16  0.0000367
17  0.0028585
18  0.0865308
19  1.355916
20  12.45105
21  75.76864
22  331.7524
23  1133.874
24  3154.108
25  7145.981
26  14903.93
27  27482.07
28  46682.73
29  73020.97
30  105280.6
31  145739.3
32  195121.8
33  249915.2
34  308722.4
35  370481.4
36  435455.1
37  499946.9
38  564709.9
39  625078.8
40  686351.1
41  741805.7
42  792133.8
43  839161.8
44  882060.7
45  919650.2
46  955123
47  984148.9
48  1.005983e+6
49  1.028402e+6
50  1.043019e+6
51  1.053645e+6
52  1.060147e+6
53  1.066653e+6
54  1.069137e+6
55  1.067121e+6
56  1.061195e+6
57  1.054570e+6
58  2.421608e+6
59  3.490060e+6
60  1.023256e+6
61  1.008575e+6
62  994178.4
63  975663.9
64  961284
65  939089.8
66  921211.9
67  1.833204e+6
68  878009.8
69  1.106737e+6
70  799606.2
71  777845.7
72  759178.7
73  737672.2
74  716284.1
75  694675.9
76  670634.3
77  649017.3
78  627811.5
79  603760.1
80  580201.1
81  556319.8
82  535093.6
83  511180.5
84  485749.9
85  461807.9
86  438345.2
87  414202.6
88  390423.2
89  364332.2
90  340193.6
91  313699.8
92  288982.1
93  261783.7
94  235236.1
95  206141.8
96  176794.2
97  147400
98  118680.4
99  58666.4
100  0
